"ticker","year","quarter","start_price","end_price","quarterly_return_pct"
"AAPL","2021","2","123.00","129.74","5.48"
"AAPL","2021","2","123.00","126.85","3.13"
"AAPL","2021","2","123.00","130.21","5.86"
"AAPL","2021","2","123.00","136.33","10.84"
"AAPL","2021","2","123.00","125.91","2.37"
"AAPL","2021","2","123.00","132.03","7.34"
"AAPL","2021","2","123.00","130.15","5.81"
"AAPL","2021","2","123.00","132.30","7.56"
"AAPL","2021","2","123.00","134.32","9.20"
"AAPL","2021","2","123.00","136.96","11.35"
"AAPL","2021","2","123.00","133.70","8.70"
"AAPL","2021","2","123.00","123.00","0.00"
"AAPL","2021","2","123.00","125.06","1.67"
"AAPL","2021","2","123.00","134.78","9.58"
"AAPL","2021","2","123.00","122.77","-0.19"
"AAPL","2021","2","123.00","129.64","5.40"
"AAPL","2021","2","123.00","127.31","3.50"
"AAPL","2021","3","137.27","146.77","6.92"
"AAPL","2021","3","137.27","148.48","8.17"
"AAPL","2021","3","137.27","153.65","11.93"
"AAPL","2021","3","137.27","146.92","7.03"
"AAPL","2021","3","137.27","155.11","13.00"
"AAPL","2021","3","137.27","142.83","4.05"
"AAPL","2021","3","137.27","154.07","12.24"
"AAPL","2021","3","137.27","142.02","3.46"
"AAPL","2021","3","137.27","146.09","6.43"
"AAPL","2021","3","137.27","143.24","4.35"
"AAPL","2021","3","137.27","146.95","7.05"
"AAPL","2021","3","137.27","148.79","8.39"
"AAPL","2021","3","137.27","142.94","4.13"
"AAPL","2021","3","137.27","146.70","6.87"
"AAPL","2021","3","137.27","146.15","6.47"
"AAPL","2021","3","137.27","147.36","7.35"
"AAPL","2021","3","137.27","143.43","4.49"
"AAPL","2021","3","137.27","149.71","9.06"
"AAPL","2021","3","137.27","147.06","7.13"
"AAPL","2021","3","137.27","149.15","8.65"
"AAPL","2021","3","137.27","156.69","14.15"
"AAPL","2021","3","137.27","144.57","5.32"
"AAPL","2021","3","137.27","145.52","6.01"
"AAPL","2021","3","137.27","137.27","0.00"
"AAPL","2021","3","137.27","147.54","7.48"
"AAPL","2021","3","137.27","141.91","3.38"
"AAPL","2021","3","137.27","144.50","5.27"
"AAPL","2021","3","137.27","153.12","11.55"
"AAPL","2021","3","137.27","145.64","6.10"
