"ticker","total_records","start_date","end_date"
"TSLA","5024","2020-11-23","2025-11-21"
"SPY","5024","2020-11-23","2025-11-21"
"AMZN","5024","2020-11-23","2025-11-21"
"AAPL","1256","2020-11-23","2025-11-21"
"GOOGL","5020","2020-11-23","2025-11-20"
"MSFT","5024","2020-11-23","2025-11-21"
