"ticker","avg_daily_return","daily_volatility","worst_day_pct","best_day_pct","trading_days"
"TSLA","0.035","1.924","-15.43","22.69","5023"
"AAPL","0.085","1.770","-9.25","15.33","1255"
"AMZN","0.013","1.106","-14.05","13.53","5023"
"GOOGL","0.029","0.976","-9.51","10.22","5019"
"MSFT","0.019","0.810","-7.72","10.13","5023"
"SPY","0.014","0.541","-5.85","10.50","5023"
