"ticker","total_return_percentage","vs_market"
"TSLA","343.90","OUTPERFORMED"
"GOOGL","250.96","OUTPERFORMED"
"AMZN","210.44","OUTPERFORMED"
"MSFT","157.99","OUTPERFORMED"
"AAPL","141.77","OUTPERFORMED"
"SPY","92.78","BENCHMARK"
